nombre_animal,pelo,plumas,huevos,leche,vuela,acuatico,depredador,dientes,espinazo,respira,venenoso,aletas,patas,cola,domestico,tamanio_gato,clase
"oso hormiguero",1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
"antílope",1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
"róbalo",0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
"oso",1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1
"jabalí",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
"búffalo",1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
"becerro",1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
"carpa",0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4
"bagre",0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
"caviar",1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1
"guepardo",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
"gallina",0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
"cacho",0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
"almeja",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7
"cangrejo",0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7
"cuervo",0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
"venado",1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
"cazón",0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
"delfín",0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
"paloma",0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
"pato",0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2
"elefante",1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
"flamingo",0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
"pulga",0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
"rana",0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5
"murciélago",1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
"jirafa",1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
"mosquito",0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
"cabra",1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
"gorila",1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1
"gaviota",0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
"eglefino",0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
"hamster",1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1
"liebre",1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
"halcón",0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
"arenque",0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
"abeja",1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6
"mosca",1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
"kiwi",0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2
"mariquita",0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6
"alondra",0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
"leopardo",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
"león",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
"langosta",0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
"lince",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
"visón",1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1
"topo",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
"mangosta",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
"polilla",1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
"tritón",0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5
"pulpo",0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7
"zarigüeya",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
"orix",1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
"avestruz",0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
"periquito",0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
"pinguino",0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2
"faisán",0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
"lucio",0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
"piraña",0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
"crótalo",0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3
"ornitorrinco",1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1
"turón",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
"poni",1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
"marsopa",0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
"puma",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
"gato",1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
"mapache",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
"reno",1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
"ñandú",0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2
"escorpión",0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7
"caballo de mar",0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
"foca",1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1
"león marino",1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1
"serpiente de mar",0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3
"avispa marina",0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7
"gusano",0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3
"babosa",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
"gorrión",0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
"ardilla",1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1
"estrella de mar",0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7
"manta raya",0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4
"cisne",0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2
"termita",0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
"sapo",0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
"tortuga",0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3
"tuátara",0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
"atún",0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
"vampiro",1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
"buitre",0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
"canguro",1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
"avispa",1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6
"lobo",1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
reyezuelo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
