titulo,titulo_original,url_imagen,fecha_estreno,sinopsis
"Oso vicioso","Cocaine Bear",https://www.imdb.com/title/tt14209916/mediaviewer/rm184234241/?ref_=tt_ov_i, 2023-04-05,"Cuenta la historia de un narcotraficante cuyo avión se estrella con un cargamento de cocaína que es encontrada por un oso negro, quien se la come."
"Air", "Air",https://www.imdb.com/title/tt16419074/mediaviewer/rm118303489/?ref_=tt_ov_i, 2023-04-05,"Sigue la historia del vendedor de calzado Sonny Vaccaro, y cómo él llevó a Nike en su búsqueda del mejor atleta en la historia del baloncesto: Michael Jordan."
"Suzume","Suzume no tojimari",https://www.imdb.com/title/tt16428256/mediaviewer/rm2717253633/?ref_=tt_ov_i,2023-04-14,"Una historia moderna de acción y aventuras en la que una chica de 17 años llamada Suzume ayuda a un misterioso joven a cerrar puertas desde el exterior que están provocando desastres por todo Japón."
"Posesión Infernal: El despertar","Evil Dead Rise",https://www.imdb.com/title/tt13345606/mediaviewer/rm1828666369/?ref_=tt_ov_i, 2023-04-21,"Beth visita a su hermana mayor, Ella, que está criando a 3 niños en un pequeño apartamento en Los Ángeles. Su reunión es muy corta cuando encuentran un libro demoníaco, The Necronomicon Ex-Mortis."
"El libro de las maravillas","La chambre des merveilles",https://www.imdb.com/title/tt14342018/mediaviewer/rm2839688449/?ref_=tt_ov_i, 2023-04-21,"Una madre encuentra el diario de su hijo en coma, el cual tiene una lista de 10 cosas por hacer antes del fin del mundo. Ella empieza a realizar cada una de las cosas listadas, con la esperanza de que su hijo regrese y aprecie lo hermoso que es la vida."
"Sisu","Sisu",https://www.imdb.com/title/tt14846026/mediaviewer/rm3793368577/?ref_=tt_ov_i, 2023-04-28,"En el desierto de Laponia, un soldado retirado descubre oro. Ahora intenta traer su botín a la ciudad y debe enfrentarse a un grupo de soldados nazis que harán todo lo posible para truncar sus planes."
"El cazador de recompensas","Dead for a Dollar",https://www.imdb.com/title/tt14895206/mediaviewer/rm3273264897/?ref_=tt_ov_i,2023-05-05,"Sigue a un famoso cazarrecompensas que se encuentra con su enemigo jurado, un jugador profesional y forajido que había enviado a prisión años antes."
"Love Again","Love Again",https://www.imdb.com/title/tt10276482/mediaviewer/rm3860149249/?ref_=tt_ov_i,2023-05-12,"Una joven mujer trata de mitigar el dolor por la muerte de su prometido enviando mensajes de texto al número telefónico que tenía su novio y establece una relación con la persona a la que le asignaron el número."
"¡Tiburón a la vista!","L'année du requin",https://www.imdb.com/title/tt14962428/mediaviewer/rm2593658113/?ref_=tt_ov_i,2023-05-19,"En un pequeño pueblo de la costa de Francia desaparece un buceador y pronto la verdad se revela: un tiburón acecha la playa."
"Kepler Sexto B","Kepler Sexto B",https://www.imdb.com/title/tt17503424/mediaviewer/rm1129592065/?ref_=tt_ov_i,2023-06-10,"Zaida vive con su padrastro, y su vecino Jonás, un viejo solitario, pasa sus días refugiado creyendo que su piso es una nave espacial en un planeta extraño. El casual encuentro entre ambos devendrá en una peculiar y especial relación."
